id,part,question,band,sample_answer,topic,keywords
P0000_B020,1,Where is your hometown?,2.0,"""Um... my hometown... uh... is Ho Chi Minh City. Yes. It is a big city. In... um... Vietnam. I live there with my family. It is always hot there. And many people. I like my city but... uh... sometimes very very busy. Too much traffic. Yes.""",Hometown,"city, there, very, hometown, minh, vietnam, live, family, always, many"
P0000_B030,1,Where is your hometown?,3.0,"Um, my hometown is... uh... in a place called... called Hanoi. It is the capital city of Vietnam. So, it's very big and has many people. I... uh... I like it because my family live there. And also, um, there are many... many foods. So, I think it is good place.",Hometown,"many, place, called, there, hometown, hanoi, capital, city, vietnam, it's"
P0000_B035,1,Where is your hometown?,3.5,"Um... I think your is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"think, okay, sometimes, know, it's, useful, like, because, helps, things"
P0000_B040,1,Where is your hometown?,4.0,"Um... I think your is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"think, okay, sometimes, know, it's, useful, like, because, helps, things"
P0000_B045,1,Where is your hometown?,4.5,"Um... my hometown, it is... uh... in the north *from* my country, Vietnam. It's a small city, not too big. It's name is Haiphong. Uh... there *are* many... um... old buildings and some parks there. Many people working in industry. So, it is... uh... a bit busy, but I like it. It is very nice place *to* live.",Hometown,"it's, there, many, hometown, north, *from*, country, vietnam, small, city"
P0000_B055,1,Where is your hometown?,5.5,"Um... I think your is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"think, okay, sometimes, know, it's, useful, like, because, helps, things"
P0000_B060,1,Where is your hometown?,6.0,"""Well, um, my hometown is called, uh, Bandung. It's in Indonesia, on the island of Java, actually. It's in the western part of the island, a little bit south of Jakarta, the capital city. So, it's a big city, but it's famous for its cool weather, because it's in the mountains, so, yeah. I think it's a nice place, very green.""",Hometown,"it's, island, city, well, hometown, called, bandung, indonesia, java, actually"
P0000_B065,1,Where is your hometown?,6.5,"Well, I would say that your is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Hometown,"well, quite, important, usually, spend, time, find, helpful, different, reasons"
P0000_B070,1,Where is your hometown?,7.0,"""Well, my hometown is called Chengdu, and it's a major city situated in the western part of China. It's quite a bustling place, you know, known especially for its delicious spicy cuisine and, of course, the giant pandas. It's also, I guess, a very green city with lots of parks, so it's quite lively but also relaxing. Yeah, that's where I'm from.""",Hometown,"it's, city, quite, also, well, hometown, called, chengdu, major, situated"
P0000_B075,1,Where is your hometown?,7.5,"That's an interesting question. From my perspective, your plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Hometown,"that's, interesting, question, perspective, plays, significant, role, personal, experience, specifically"
P0000_B080,1,Where is your hometown?,8.0,"Well, my hometown is Chengdu, which is a bustling metropolis situated in the southwestern part of China. It's renowned globally, not just for being the natural habitat of giant pandas, but also for its incredibly vibrant tea culture and famously spicy cuisine. To top it all off, it truly feels like a second home to me.",Hometown,"well, hometown, chengdu, which, bustling, metropolis, situated, southwestern, part, china"
P0001_B020,1,Do you like your hometown?,2.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B030,1,Do you like your hometown?,3.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B035,1,Do you like your hometown?,3.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B040,1,Do you like your hometown?,4.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B045,1,Do you like your hometown?,4.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B055,1,Do you like your hometown?,5.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Hometown,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0001_B060,1,Do you like your hometown?,6.0,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Hometown,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0001_B065,1,Do you like your hometown?,6.5,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Hometown,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0001_B070,1,Do you like your hometown?,7.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Hometown,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0001_B075,1,Do you like your hometown?,7.5,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Hometown,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0001_B080,1,Do you like your hometown?,8.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Hometown,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0002_B020,1,Do you work or are you a student?,2.0,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B030,1,Do you work or are you a student?,3.0,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B035,1,Do you work or are you a student?,3.5,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B040,1,Do you work or are you a student?,4.0,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B045,1,Do you work or are you a student?,4.5,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B055,1,Do you work or are you a student?,5.5,"Um... I think work is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, work, okay, sometimes, know, it's, useful, like, because, helps"
P0002_B060,1,Do you work or are you a student?,6.0,"Well, I would say that work is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Work/Study,"well, work, quite, important, usually, spend, time, find, helpful, different"
P0002_B065,1,Do you work or are you a student?,6.5,"Well, I would say that work is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Work/Study,"well, work, quite, important, usually, spend, time, find, helpful, different"
P0002_B070,1,Do you work or are you a student?,7.0,"That's an interesting question. From my perspective, work plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, work, plays, significant, role, personal, experience"
